tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.126753;0.801295;8.84862e-05;0.41;563;31.3084;3;3.1458;0
0.188117;2.08865;2.41753e-05;0.41;1;43.5503;3;3.0954;0
0.141823;1.79024;-1.2212e-05;0.41;1;43.496;3;3.2074;0
0.106046;2.41621;6.29355e-05;0.41;501;27.5114;3;3.2074;0
0.107201;1.33827;-2.46738e-05;0.41;1;41.0369;3;3.1049;0
0.206189;2.32315;-3.57728e-05;0.41;1;40.8946;3;3.0999;0
0.090721;1.4912;1.84231e-05;0.41;728;36.9854;3;3.0999;0
0.18875;1.40918;6.96652e-05;0.41;1;45.3698;3;3.0203;0
0.172477;1.66517;-4.17476e-05;0.41;1;45.3764;3;3.1123;0
0.0915002;0.858529;-4.90641e-05;0.41;500;28.3454;3;3.1123;0
0.185713;0.612433;-7.55306e-05;0.41;1;42.7963;3;3.003;0
0.0971551;1.16236;-9.88311e-05;0.41;1;42.8006;3;3.1707;0
0.157674;1.18733;-4.46707e-05;0.41;433;26.0858;3;3.1707;0
0.119653;1.80802;-4.10305e-05;0.41;1;39.6247;3;3.0838;0
0.0794607;1.54213;7.02066e-05;0.41;1;39.6129;3;3.2153;0
0.0858557;2.12326;-6.85707e-05;0.41;855;34.3943;3;3.2153;0
0.158176;0.859065;4.42206e-05;0.41;1;45.3049;3;3.0064;0
0.10212;1.15148;-1.66329e-05;0.41;1;45.2878;3;3.0466;0
0.101136;2.41684;7.06308e-06;0.41;1004;36.4082;3;3.0466;0
0.14148;1.88419;6.58044e-05;0.41;1;44.579;3;3.0916;0
0.124969;1.94946;-1.13278e-05;0.41;1;44.4961;3;3.1903;0
0.142878;2.043;-2.0948e-05;0.41;1184;37.0526;3;3.1903;0
0.134515;1.40094;-1.06253e-05;0.41;1;43.349;3;3.1035;0
0.0840029;1.71578;-2.09529e-05;0.41;1;43.2578;3;3.2929;0
0.178772;2.01666;3.26639e-05;0.41;785;33.2791;3;3.2929;0
0.204042;2.53065;5.61273e-05;0.41;1;40.9571;3;3.0772;0
0.106587;1.8102;-4.29027e-07;0.41;1;40.8022;3;3.1898;0
0.173016;1.19581;-6.88179e-05;0.41;665;31.598;3;3.1898;0
0.118665;2.47612;-3.62256e-05;0.41;1;41.4265;3;3.1178;0
0.172122;1.93373;-5.19247e-05;0.41;1;41.3295;3;3.2208;0
