tau_p;tau_d;tau_i;throttle;num_steps;mean_speed;cte_tolerante;max_abs_cte;result
0.326218;1.97942;0;0.25;1;25.6731;2.7;2.888;0
0.222544;1.77896;0;0.25;1009;21.5215;2.7;2.888;0
0.405129;1.93322;0;0.25;1;26.1691;2.7;2.72;0
0.326616;2.06734;0;0.25;1;25.8408;2.7;2.7819;0
0.414124;2.00397;0;0.25;519;16.0246;2.7;2.7819;0
0.340716;2.07692;0;0.25;1;21.1397;2.7;2.7517;0
0.313575;1.97692;0;0.25;1;21.2207;2.7;2.8535;0
0.255074;1.76804;0;0.25;725;19.3073;2.7;2.8535;0
0.339201;2.04513;0;0.25;1;24.8266;2.7;4.7487;0
0.366043;2.03838;0;0.25;1;24.7479;2.7;4.8494;0
0.331276;1.88682;0;0.25;606;18.1696;2.7;4.8494;0
0.373573;1.8685;0;0.25;1;24.8339;2.7;2.7113;0
0.259745;2.15884;0;0.25;1;24.8339;2.7;2.7113;0
0.318792;1.84625;0;0.25;612;18.4918;2.7;2.7113;0
0.384989;1.85191;0;0.25;1;25.4966;2.7;2.8305;0
0.369217;1.89966;0;0.25;1;25.501;2.7;2.9484;0
0.352208;2.13001;0;0.25;697;19.1743;2.7;2.9484;0
0.316507;2.09627;0;0.25;1;24.383;2.7;2.7191;0
0.229627;1.84718;0;0.25;1;24.198;2.7;3.8225;0
0.222019;2.04833;0;0.25;1572;23.3011;2.7;3.8225;0
0.4208;1.80918;0;0.25;1;26.4836;2.7;3.661;0
0.268041;1.90989;0;0.25;1;26.4836;2.7;3.661;0
0.330567;1.96469;0;0.25;589;18.0883;2.7;3.661;0
0.242712;1.90646;0;0.25;1;25.0929;2.7;2.7641;0
0.398296;2.05059;0;0.25;1;25.0722;2.7;2.8307;0
0.390757;1.86316;0;0.25;497;16.4305;2.7;2.8307;0
0.374639;2.14775;0;0.25;1;21.4227;2.7;4.4353;0
0.30597;1.87322;0;0.25;1;21.4227;2.7;4.4353;0
0.31155;1.8348;0;0.25;594;18.0075;2.7;4.4353;0
0.300862;1.88813;0;0.25;1;24.5352;2.7;2.7153;0
0.227443;1.83526;0;0.25;1;24.4609;2.7;2.7652;0
0.23808;1.83539;0;0.25;786;19.9991;2.7;2.7652;0
0.294459;1.88589;0;0.25;1;25.7919;2.7;2.741;0
0.330674;1.83366;0;0.25;1;25.7919;2.7;2.741;0
0.234825;1.97015;0;0.25;586;17.993;2.7;2.741;0
0.384334;1.94269;0;0.25;1;25.2544;2.7;2.736;0
0.330759;2.0114;0;0.25;1;25.2514;2.7;2.7229;0
0.334616;1.89472;0;0.25;657;19.0065;2.7;2.7229;0
0.348525;1.85515;0;0.25;1;24.4182;2.7;3.3567;0
0.274512;2.07171;0;0.25;1;24.4292;2.7;3.3459;0
0.343529;1.95203;0;0.25;640;18.9343;2.7;3.3459;0
0.414065;2.05142;0;0.25;1;23.7827;2.7;2.9219;0
0.371369;2.12779;0;0.25;1;23.7827;2.7;2.9219;0
0.402194;2.01509;0;0.25;566;17.1613;2.7;2.9219;0
0.377185;1.97135;0;0.25;1;20.7207;2.7;3.7268;0
0.370658;2.07603;0;0.25;1;20.1223;2.7;3.7921;0
